,0
840,52.75
841,52.71875
842,52.75
843,52.78125
844,52.78125
845,52.75
846,52.71875
847,52.75
848,52.71875
849,52.75
850,52.75
851,52.71875
852,52.71875
853,52.75
854,52.71875
855,52.71875
856,52.71875
857,52.71875
858,52.71875
859,52.71875
860,52.6875
861,52.71875
862,52.71875
863,52.71875
864,52.71875
865,52.71875
866,52.6875
867,52.6875
868,52.6875
869,52.65625
870,52.71875
871,52.6875
872,52.6875
873,52.6875
874,52.65625
875,52.65625
876,52.71875
877,52.6875
878,52.6875
879,52.6875
880,52.6875
881,52.6875
882,52.6875
883,52.6875
884,52.65625
885,52.65625
886,52.65625
887,52.6875
888,52.65625
889,52.65625
890,52.65625
891,52.65625
892,52.6875
893,52.65625
894,52.625
895,52.65625
896,52.65625
897,52.65625
898,52.65625
899,52.65625
900,52.625
901,52.625
902,52.65625
903,52.65625
904,52.65625
905,52.625
906,52.65625
907,52.65625
908,52.65625
909,52.625
910,52.59375
911,52.59375
912,52.59375
913,52.625
914,52.65625
915,52.59375
916,52.59375
917,52.625
918,52.625
919,52.625
920,52.59375
921,52.59375
922,52.625
923,52.625
924,52.59375
925,52.59375
926,52.59375
927,52.59375
928,52.625
929,52.59375
930,52.59375
931,52.625
932,52.625
933,52.59375
934,52.5625
935,52.5625
936,52.59375
937,52.59375
938,52.59375
939,52.59375
940,52.5625
941,52.5625
942,52.5625
943,52.5625
944,52.5625
945,52.5625
946,52.5625
947,52.5625
948,52.59375
949,52.59375
950,52.5625
951,31.28125
952,31.28125
953,31.28125
954,31.28125
955,31.28125
956,31.28125
957,31.28125
958,31.25
959,31.25
960,31.21875
961,31.1875
962,31.21875
963,31.21875
964,31.21875
965,31.1875
966,31.1875
967,31.15625
968,31.15625
969,31.125
970,31.125
971,31.15625
972,31.125
973,31.09375
974,31.125
975,31.125
976,31.0625
977,31.0625
978,31.0625
979,31.09375
980,31.0625
981,31.0625
982,31.03125
983,31.03125
984,31.0
985,31.0
986,31.0
987,31.0
988,31.0
989,31.0
990,30.96875
991,30.96875
992,30.96875
993,30.96875
994,30.96875
995,30.90625
996,30.90625
997,30.9375
998,30.9375
999,30.9375
